Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
PEAB3	50,00	14,27	1,22	1,638	7,78%	0,952	2,97	16,22	4,03	11,68	10,10%	11,51%	3,40	8,32%	8,57%	2.020,64	525.543.000,00	0,00	10,00%
SOND3	38,00	14,28	1,92	1,667	15,06%	1,080	3,48	22,02	5,36	11,32	7,57%	11,68%	1,95	8,31%	13,46%	382,14	48.605.000,00	0,00	-23,01%
COCE5	62,40	14,80	1,63	0,933	3,00%	0,574	33,31	11,14	-1,40	10,24	8,38%	6,31%	1,08	5,80%	10,98%	2.478.520,00	2.988.960.000,00	0,77	6,25%
CAMB4	5,95	15,17	3,53	1,101	0,00%	1,016	26,40	11,14	-4,01	10,54	9,88%	7,26%	1,09	9,92%	23,24%	300.316,00	70.840.000,00	0,95	-7,11%
ENAT3	13,75	15,32	1,31	3,633	13,87%	0,828	2,61	14,61	13,39	4,19	24,87%	23,72%	3,87	9,01%	8,54%	9.088.740,00	2.795.640.000,00	0,09	18,47%
SPRI5	9,30	15,37	0,60	0,000	0,00%	0,555	0,00	-11,37	0,00	-9,80	0,00%	0,00%	0,00	0,00%	3,91%	393,48	39.160.000,00	0,00	-42,88%
POMO3	3,32	15,53	1,41	0,721	4,46%	0,611	2,42	13,69	2.484,94	12,79	5,26%	4,88%	1,83	6,20%	9,07%	379.138,00	2.233.070.000,00	0,80	13,05%
RAPT4	10,40	15,62	2,12	0,716	1,83%	0,571	1,51	6,61	-10,50	6,84	10,83%	5,84%	2,72	13,33%	13,58%	29.484.100,00	1.695.280.000,00	1,69	13,08%
LLIS3	16,50	15,68	0,39	0,848	2,89%	0,195	30,46	1.435,53	-0,80	17,11	0,06%	2,08%	1,03	0,02%	2,46%	348.126,00	2.202.920.000,00	0,79	-1,07%
TIET4	2,40	15,99	3,13	2,409	6,91%	0,609	18,65	6,65	-1,06	7,58	36,24%	15,06%	1,16	13,44%	19,58%	799.488,00	1.529.330.000,00	2,76	-39,54%
PATI3	21,50	16,14	0,90	0,360	3,87%	0,411	0,82	7,96	1,93	7,34	4,53%	2,23%	2,97	9,19%	5,59%	1.740,50	425.541.000,00	0,72	14,74%
TIET11	12,25	16,33	3,20	2,459	6,77%	0,622	19,04	6,78	-1,08	7,68	36,24%	15,06%	1,16	13,44%	19,58%	11.725.100,00	1.529.330.000,00	2,76	-39,54%
POMO4	3,51	16,41	1,49	0,762	4,21%	0,645	2,56	14,48	2.627,15	13,38	5,26%	4,88%	1,83	6,20%	9,07%	18.797.300,00	2.233.070.000,00	0,80	13,05%
BRGE6	11,10	16,43	0,69	29,416	6,04%	0,251	1,40	-1,96	1,67	2,12	-1.501,78%	268,48%	1,41	-26,86%	4,21%	303,62	1.181.120.000,00	0,00	-1,54%
TXRX3	3,44	16,57	-0,05	0,151	0,00%	0,084	-0,05	5,49	-0,03	26,39	2,74%	0,91%	0,16	2,41%	-0,29%	296,41	-305.523.000,00	-0,63	4,21%
RPAD5	8,06	16,76	0,69	2.173,680	5,07%	0,687	160,45	-195,91	175,01	-194,23	-1.109,55%	12.969,40%	2,36	-0,35%	4,12%	556,55	989.509.000,00	0,00	12,81%
CEPE5	22,65	17,12	1,04	0,376	5,45%	0,213	9,55	3,67	-0,41	8,57	10,25%	2,20%	1,09	6,59%	6,10%	2.347,95	1.618.100.000,00	2,96	1,47%
FRAS3	4,67	17,22	1,29	0,755	7,34%	0,623	2,50	11,10	-15,08	8,05	6,80%	4,09%	2,15	7,01%	7,52%	204.429,00	784.832.000,00	0,52	12,17%
TIET3	2,63	17,53	3,43	2,639	6,31%	0,667	20,44	7,28	-1,16	8,03	36,24%	15,06%	1,16	13,44%	19,58%	238.076,00	1.529.330.000,00	2,76	-39,54%
SEER3	23,50	17,58	2,30	2,428	10,87%	1,208	6,86	12,25	-8,16	7,53	19,83%	13,81%	2,17	12,56%	13,06%	15.875.900,00	1.317.110.000,00	0,15	6,22%
JHSF3	5,25	18,14	1,45	5,707	1,83%	0,673	238,34	25,70	-1,52	29,04	22,21%	33,42%	1,03	2,69%	7,98%	11.563.100,00	2.313.410.000,00	0,47	-2,10%
CSRN6	17,06	18,43	2,86	1,482	7,51%	0,714	7,29	11,48	-1,39	12,95	12,91%	8,04%	1,72	6,97%	15,52%	40,62	1.002.440.000,00	1,74	4,60%
PATI4	25,49	19,13	1,07	0,427	5,46%	0,488	0,97	9,44	2,28	8,56	4,53%	2,23%	2,97	9,19%	5,59%	1.510,52	425.541.000,00	0,72	14,74%
TXRX4	3,99	19,22	-0,06	0,175	0,00%	0,097	-0,06	6,37	-0,04	26,69	2,74%	0,91%	0,16	2,41%	-0,29%	33.727,90	-305.523.000,00	-0,63	4,21%
SPRI6	11,69	19,32	0,75	0,000	0,00%	0,698	0,00	-14,30	0,00	-12,77	0,00%	0,00%	0,00	0,00%	3,91%	111,38	39.160.000,00	0,00	-42,88%
EALT3	15,22	19,40	2,07	1,159	0,83%	0,924	20,85	15,73	-4,41	14,05	7,37%	5,98%	1,15	6,36%	10,67%	59.387,80	165.525.000,00	0,50	22,44%
CSRN5	18,00	19,45	3,02	1,564	7,12%	0,754	7,69	12,11	-1,46	13,42	12,91%	8,04%	1,72	6,97%	15,52%	85,71	1.002.440.000,00	1,74	4,60%
WSON33	34,71	19,73	1,22	1,535	6,18%	0,541	20,51	4,45	-1,28	7,69	34,48%	8,14%	1,25	13,47%	6,21%	965.723,00	2.018.430.000,00	1,00	-0,49%
MOAR3	165,00	19,91	1,91	878,876	7,96%	1,388	9,23	-44,51	-59,84	-41,08	-1.974,48%	4.514,04%	2,53	-4,07%	9,57%	13.059,50	1.060.840.000,00	0,15	-28,50%
CSRN3	18,49	19,98	3,10	1,606	6,30%	0,774	7,90	12,44	-1,50	13,66	12,91%	8,04%	1,72	6,97%	15,52%	4.438,02	1.002.440.000,00	1,74	4,60%
DIRR3	11,93	20,23	1,41	1,234	7,38%	0,392	0,96	8,26	-2,14	7,56	14,93%	7,30%	4,72	5,86%	6,95%	8.264.740,00	1.302.000.000,00	0,71	-7,36%
HGTX3	31,30	20,60	3,68	3,240	3,01%	2,760	5,93	22,19	6,40	15,52	14,60%	15,73%	3,16	17,96%	17,87%	51.827.300,00	1.382.520.000,00	0,05	-0,19%
TRIS3	13,23	21,12	2,38	3,374	0,81%	1,458	2,24	17,58	2,85	16,17	19,20%	17,39%	3,99	12,54%	11,28%	14.965.000,00	1.036.050.000,00	0,34	19,43%
PNVL4	379,90	21,47	3,44	0,678	1,64%	1,268	5,02	8,06	-42,47	7,28	8,42%	3,16%	1,73	20,66%	16,03%	56.299,80	498.578.000,00	0,94	6,46%
LUXM4	22,00	21,66	0,99	0,906	8,51%	0,593	-114,66	9,89	-1,95	5,04	9,16%	4,18%	0,95	6,34%	4,58%	22.504,00	115.330.000,00	0,29	16,05%
GBIO33	8,82	21,77	1,24	1,237	0,00%	0,711	3,30	7,25	10,88	8,38	17,06%	5,68%	1,79	12,75%	5,68%	7.780.080,00	760.840.000,00	0,29	-10,40%
PARD3	24,05	22,45	4,71	2,385	1,96%	1,935	12,55	14,91	-7,59	11,64	15,99%	10,65%	1,86	15,46%	20,97%	5.968.420,00	668.985.000,00	0,35	11,17%
QUAL3	34,11	22,95	4,17	4,941	14,03%	2,256	7,38	12,20	-70,13	7,99	40,50%	21,52%	3,52	29,42%	18,16%	87.527.400,00	2.324.350.000,00	0,56	3,47%
